datetime,count
2011-01-20 00:00:00,11.58
2011-01-20 01:00:00,5.34
2011-01-20 02:00:00,3.91
2011-01-20 03:00:00,3.4
2011-01-20 04:00:00,2.87
2011-01-20 05:00:00,5.68
2011-01-20 06:00:00,35.81
2011-01-20 07:00:00,97.53
2011-01-20 08:00:00,202.61
2011-01-20 09:00:00,119.33
2011-01-20 10:00:00,59.97
2011-01-20 11:00:00,58.76
2011-01-20 12:00:00,80.62
2011-01-20 13:00:00,70.27
2011-01-20 14:00:00,74.74
2011-01-20 15:00:00,76.89
2011-01-20 16:00:00,88.58
2011-01-20 17:00:00,195.79
2011-01-20 18:00:00,175.56
2011-01-20 19:00:00,100.03
2011-01-20 20:00:00,68.42
2011-01-20 21:00:00,47.57
2011-01-20 22:00:00,43.4
2011-01-20 23:00:00,23.83
2011-01-21 00:00:00,14.65
2011-01-21 01:00:00,6.82
2011-01-21 02:00:00,4.34
2011-01-21 03:00:00,2.6
2011-01-21 04:00:00,2.3
2011-01-21 05:00:00,3.79
2011-01-21 06:00:00,32.05
2011-01-21 07:00:00,91.99
2011-01-21 08:00:00,191.92
2011-01-21 09:00:00,126.74
2011-01-21 10:00:00,52.46
2011-01-21 11:00:00,61.55
2011-01-21 12:00:00,71.4
2011-01-21 13:00:00,68.83
2011-01-21 14:00:00,65.89
2011-01-21 15:00:00,63.8
2011-01-21 16:00:00,75.4
2011-01-21 17:00:00,151.12
2011-01-21 18:00:00,151.61
2011-01-21 19:00:00,103.52
2011-01-21 20:00:00,64.9
2011-01-21 21:00:00,43.12
2011-01-21 22:00:00,32.37
2011-01-21 23:00:00,20.38
2011-01-22 00:00:00,25.93
2011-01-22 01:00:00,17.98
2011-01-22 02:00:00,13.01
2011-01-22 03:00:00,6.53
2011-01-22 04:00:00,2.77
2011-01-22 06:00:00,4.27
2011-01-22 07:00:00,15.62
2011-01-22 08:00:00,21.06
2011-01-22 09:00:00,32.37
2011-01-22 10:00:00,50.85
2011-01-22 11:00:00,52.51
2011-01-22 12:00:00,71.88
2011-01-22 13:00:00,79.64
2011-01-22 14:00:00,73.87
2011-01-22 15:00:00,74.72
2011-01-22 16:00:00,76.6
2011-01-22 17:00:00,90.1
2011-01-22 18:00:00,57.81
2011-01-22 19:00:00,42.76
2011-01-22 20:00:00,41.35
2011-01-22 21:00:00,39.3
2011-01-22 22:00:00,30.22
2011-01-22 23:00:00,17.86
2011-01-23 00:00:00,27.7
2011-01-23 01:00:00,20.09
2011-01-23 02:00:00,15.3
2011-01-23 03:00:00,12.32
2011-01-23 05:00:00,3.23
2011-01-23 06:00:00,2.43
2011-01-23 07:00:00,11.07
2011-01-23 08:00:00,18.05
2011-01-23 09:00:00,25.09
2011-01-23 10:00:00,52.4
2011-01-23 11:00:00,60.57
2011-01-23 12:00:00,70.84
2011-01-23 13:00:00,69.03
2011-01-23 14:00:00,73.28
2011-01-23 15:00:00,72.35
2011-01-23 16:00:00,74.34
2011-01-23 17:00:00,75.88
2011-01-23 18:00:00,67.1
2011-01-23 19:00:00,47.55
2011-01-23 20:00:00,33.11
2011-01-23 21:00:00,32.79
2011-01-23 22:00:00,19.92
2011-01-23 23:00:00,13.94
2011-01-24 00:00:00,10.41
2011-01-24 01:00:00,4.37
2011-01-24 03:00:00,1.94
2011-01-24 04:00:00,2.38
2011-01-24 05:00:00,5.62
2011-01-24 06:00:00,29.77
2011-01-24 07:00:00,77.42
2011-01-24 08:00:00,174.44
2011-01-24 09:00:00,103.82
2011-01-24 10:00:00,43.9
2011-01-24 11:00:00,40.73
2011-01-24 12:00:00,51.94
2011-01-24 13:00:00,47.26
2011-01-24 14:00:00,42.41
2011-01-24 15:00:00,53.15
2011-01-24 16:00:00,65.33
2011-01-24 17:00:00,153.24
2011-01-24 18:00:00,151.82
2011-01-24 19:00:00,95.49
2011-01-24 20:00:00,62.97
2011-01-24 21:00:00,42.96
2011-01-24 22:00:00,24.46
2011-01-24 23:00:00,18.25
2011-01-25 00:00:00,8.59
2011-01-25 01:00:00,3.2
2011-01-25 02:00:00,2.04
2011-01-25 04:00:00,1.91
2011-01-25 05:00:00,4.73
2011-01-25 06:00:00,34.03
2011-01-25 07:00:00,79.61
2011-01-25 08:00:00,167.82
2011-01-25 09:00:00,111.01
2011-01-25 10:00:00,56.3
2011-01-25 11:00:00,59.45
2011-01-25 12:00:00,73.0
2011-01-25 13:00:00,71.3
2011-01-25 14:00:00,72.54
2011-01-25 15:00:00,75.61
2011-01-25 16:00:00,91.96
2011-01-25 17:00:00,201.13
2011-01-25 18:00:00,188.19
2011-01-25 19:00:00,111.33
2011-01-25 20:00:00,69.28
2011-01-25 21:00:00,47.69
2011-01-25 22:00:00,36.13
2011-01-25 23:00:00,18.78
2011-01-26 00:00:00,8.09
2011-01-26 01:00:00,5.23
2011-01-26 02:00:00,3.19
2011-01-26 05:00:00,2.97
2011-01-26 06:00:00,25.03
2011-01-26 07:00:00,72.13
2011-01-26 08:00:00,135.96
2011-01-26 09:00:00,87.25
2011-01-26 10:00:00,46.92
2011-01-26 11:00:00,44.33
2011-01-26 12:00:00,41.47
2011-01-26 13:00:00,42.16
2011-01-26 14:00:00,40.08
2011-01-26 15:00:00,40.78
2011-01-26 16:00:00,59.33
2011-01-26 17:00:00,118.27
2011-01-27 16:00:00,80.74
2011-01-27 17:00:00,170.05
2011-01-27 18:00:00,139.19
2011-01-27 19:00:00,97.75
2011-01-27 20:00:00,71.3
2011-01-27 21:00:00,49.6
2011-01-27 22:00:00,38.9
2011-01-27 23:00:00,22.08
2011-01-28 00:00:00,13.45
2011-01-28 01:00:00,6.58
2011-01-28 02:00:00,2.3
2011-01-28 03:00:00,2.08
2011-01-28 05:00:00,5.78
2011-01-28 06:00:00,29.6
2011-01-28 07:00:00,79.79
2011-01-28 08:00:00,172.17
2011-01-28 09:00:00,82.25
2011-01-28 10:00:00,37.33
2011-01-28 11:00:00,40.02
2011-01-28 12:00:00,44.6
2011-01-28 13:00:00,47.24
2011-01-28 14:00:00,53.33
2011-01-28 15:00:00,53.78
2011-01-28 16:00:00,70.79
2011-01-28 17:00:00,162.12
2011-01-28 18:00:00,155.67
2011-01-28 19:00:00,102.74
2011-01-28 20:00:00,68.27
2011-01-28 21:00:00,45.99
2011-01-28 22:00:00,42.18
2011-01-28 23:00:00,25.75
2011-01-29 00:00:00,28.03
2011-01-29 01:00:00,22.02
2011-01-29 02:00:00,16.24
2011-01-29 03:00:00,11.77
2011-01-29 04:00:00,2.96
2011-01-29 06:00:00,3.04
2011-01-29 07:00:00,12.04
2011-01-29 08:00:00,22.92
2011-01-29 09:00:00,31.13
2011-01-29 10:00:00,58.68
2011-01-29 11:00:00,63.35
2011-01-29 12:00:00,82.54
2011-01-29 13:00:00,85.44
2011-01-29 14:00:00,82.84
2011-01-29 15:00:00,81.82
2011-01-29 16:00:00,86.76
2011-01-29 17:00:00,77.78
2011-01-29 18:00:00,68.54
2011-01-29 19:00:00,63.93
2011-01-29 20:00:00,46.5
2011-01-29 21:00:00,39.86
2011-01-29 22:00:00,32.0
2011-01-29 23:00:00,19.33
2011-01-30 00:00:00,26.82
2011-01-30 01:00:00,25.07
2011-01-30 02:00:00,20.53
2011-01-30 03:00:00,11.09
2011-01-30 04:00:00,4.84
2011-01-30 05:00:00,4.16
2011-01-30 07:00:00,10.91
2011-01-30 08:00:00,20.49
2011-01-30 09:00:00,26.43
2011-01-30 10:00:00,54.91
2011-01-30 11:00:00,60.37
2011-01-30 12:00:00,99.24
2011-01-30 13:00:00,86.32
2011-01-30 14:00:00,87.26
2011-01-30 15:00:00,97.8
2011-01-30 16:00:00,98.57
2011-01-30 17:00:00,72.6
2011-01-30 18:00:00,61.98
2011-01-30 19:00:00,40.84
2011-01-30 20:00:00,36.95
2011-01-30 21:00:00,31.3
2011-01-30 22:00:00,23.78
2011-01-30 23:00:00,14.61
2011-01-31 00:00:00,10.4
2011-01-31 01:00:00,3.46
2011-01-31 02:00:00,2.55
2011-01-31 03:00:00,2.37
2011-01-31 04:00:00,2.19
2011-01-31 05:00:00,2.47
2011-01-31 06:00:00,32.79
2011-01-31 07:00:00,78.69
2011-01-31 08:00:00,162.42
2011-01-31 09:00:00,91.09
2011-01-31 10:00:00,40.47
2011-01-31 11:00:00,40.0
2011-01-31 12:00:00,58.65
2011-01-31 13:00:00,60.4
2011-01-31 14:00:00,52.77
2011-01-31 15:00:00,48.76
2011-01-31 16:00:00,67.59
2011-01-31 17:00:00,156.73
2011-01-31 18:00:00,151.84
2011-01-31 19:00:00,124.59
2011-01-31 20:00:00,59.06
2011-01-31 21:00:00,33.08
2011-01-31 22:00:00,28.07
2011-01-31 23:00:00,17.25
2011-02-20 00:00:00,38.41
2011-02-20 01:00:00,24.64
2011-02-20 02:00:00,17.84
2011-02-20 03:00:00,9.59
2011-02-20 04:00:00,2.46
2011-02-20 06:00:00,2.76
2011-02-20 07:00:00,13.07
2011-02-20 08:00:00,24.61
2011-02-20 09:00:00,40.01
